protein,n,skew_raw,skew_log,improved
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",155,0.35626578153453103,-2.476296072967645,FALSE
14-3-3 protein beta/alpha,155,2.9655910232907483,-1.1797574256500771,TRUE
14-3-3 protein epsilon,155,4.6761747958679445,0.5362694538618141,TRUE
14-3-3 protein family,155,0.47877386752265055,-1.8393959854091508,FALSE
14-3-3 protein sigma,154,1.541937583534566,1.0351599015812971,TRUE
14-3-3 protein theta,155,0.23188221014284535,-3.3257229541737763,FALSE
14-3-3 protein zeta/delta,155,0.8618281455561628,-4.610979988221981,FALSE
15-hydroxyprostaglandin dehydrogenase [NAD(+)],154,-0.10393255881935402,-1.359137804951881,FALSE
2'-5'-oligoadenylate synthase 1,155,10.543586930319984,5.289577262778096,TRUE
26S proteasome non-ATPase regulatory subunit 7,155,10.511630950336544,5.337379079138537,TRUE
3-hydroxy-3-methylglutaryl-coenzyme A reductase,154,5.692104339121753,3.896310364354649,TRUE
3-hydroxyacyl-CoA dehydrogenase type-2,154,3.14898577170751,1.8445077204520233,TRUE
"3-hydroxyanthranilate 3,4-dioxygenase",155,12.059613637360048,1.5803653420667727,TRUE
"3-hydroxyisobutyrate dehydrogenase, mitochondrial",155,3.7980466996093685,0.3872721648661602,TRUE
3-phosphoinositide-dependent protein kinase 1,155,6.776824405681909,2.5074809800832063,TRUE
40S ribosomal protein S3,155,5.280429011132953,1.9787761141391826,TRUE
40S ribosomal protein S3a,155,5.172628962133924,-0.46756628099137354,TRUE
40S ribosomal protein S7,155,8.289958703313886,1.4279521958027865,TRUE
40S ribosomal protein SA,155,0.9663019636507367,-1.1976985649042287,FALSE
"6-phosphogluconate dehydrogenase, decarboxylating",155,3.527124509389524,-0.35009999599775826,TRUE
"60 kDa heat shock protein, mitochondrial",155,6.358112890731504,1.4066751662563988,TRUE
72 kDa type IV collagenase,155,1.2274069464485962,-4.188910167054685,FALSE
A disintegrin and metalloproteinase with thrombospondin motifs 1,155,-1.2925799220247183,-3.3735890443422614,FALSE
A disintegrin and metalloproteinase with thrombospondin motifs 13,155,0.08543997348512494,-3.2086993370813195,FALSE
A disintegrin and metalloproteinase with thrombospondin motifs 15,155,-1.170570508888033,-3.5191806298202355,FALSE
A disintegrin and metalloproteinase with thrombospondin motifs 4,155,1.1643624798307473,-1.0007794748947239,TRUE
A disintegrin and metalloproteinase with thrombospondin motifs 5,155,-0.6175719194748248,-2.9702223642378276,FALSE
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,155,8.75676868269637,3.104466928336191,TRUE
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,155,1.2099348602545437,-2.71459836289956,FALSE
AH receptor-interacting protein,154,2.7436861700934916,1.4457558168308091,TRUE
AMP Kinase (alpha1beta1gamma1),155,2.138356942301283,-1.5022590803588614,TRUE
AMP Kinase (alpha2beta2gamma1),155,9.299698650275399,1.1010294690790323,TRUE
AT-rich interactive domain-containing protein 3A,155,3.862488187149727,0.5890848111344376,TRUE
"ATP synthase subunit O, mitochondrial",154,2.5013168735452602,1.548766413896108,TRUE
"ATP synthase subunit beta, mitochondrial",154,0.36378304299760594,-0.5549500263336157,FALSE
ATP-dependent RNA helicase DDX19B,154,9.414899611297425,4.4311831976181555,TRUE
Abelson tyrosine-protein kinase 2,155,1.3300100815932283,-0.8884507989572978,TRUE
Acid sphingomyelinase-like phosphodiesterase 3a,155,1.6426927805488218,-1.8965808091868979,FALSE
Acidic leucine-rich nuclear phosphoprotein 32 family member B,155,0.3486743618853782,-0.4154109535273331,FALSE
Activated Protein C,154,-0.04703634102448503,-0.7281153139619972,FALSE
Activin receptor type-1B,154,0.7767411950621455,0.1103625610347071,TRUE
Adapter molecule crk,154,3.874626103919271,1.606360933883128,TRUE
Adenylate kinase isoenzyme 1,154,3.669463301471977,0.7461329057393948,TRUE
Adenylosuccinate lyase,155,3.834626784005651,0.14009421811086908,TRUE
Adhesion G protein-coupled receptor E2,155,1.2208182387267799,0.0458465734408804,TRUE
Adhesion G-protein coupled receptor G5,155,1.3518665662063183,-0.5257084041895042,TRUE
Adiponectin,154,0.4059318130305531,-0.18339651321465741,TRUE
Adrenomedullin,154,0.6717272755118557,0.3758359803803574,TRUE
"Advanced glycosylation end product-specific receptor, soluble",154,1.142357357188911,0.339503496404845,TRUE
Afamin,154,0.17497998632383024,-0.7459107446248875,FALSE
Aflatoxin B1 aldehyde reductase member 2,155,4.297083556375867,0.16778402084830582,TRUE
Aggrecan core protein,154,1.0119636296063732,0.18396134399947156,TRUE
Agouti-related protein,154,5.349499810048962,2.1533229089982986,TRUE
